distribution,#samples,#dimensions,#cores,time,K
correlated,1000000,2,2,43.1569141976,10
correlated,1000000,4,2,87.2436337603,10
correlated,1000000,6,2,136.3552903471,10
correlated,1000000,8,2,249.7001434535,10
correlated,1000000,2,2,72.980796634,25
correlated,1000000,4,2,126.036529114,25
correlated,1000000,6,2,194.2947521758,25
correlated,1000000,8,2,328.7226466711,25
correlated,1000000,2,2,136.3642207145,50
correlated,1000000,4,2,220.7759073639,50
correlated,1000000,6,2,307.1660083794,50
correlated,1000000,8,2,470.2509314174,50
correlated,1000000,2,4,29.9724553911,10
correlated,1000000,4,4,59.2687713084,10
correlated,1000000,6,4,98.5449029002,10
correlated,1000000,8,4,158.3072674722,10
correlated,1000000,2,4,47.2466281546,25
correlated,1000000,4,4,84.7841272922,25
correlated,1000000,6,4,126.9984096929,25
correlated,1000000,8,4,220.1605011891,25
correlated,1000000,2,4,92.2079275554,50
correlated,1000000,4,4,140.6786645482,50
correlated,1000000,6,4,200.3485135933,50
correlated,1000000,8,4,298.2649309921,50
correlated,1000000,2,8,20.7113141766,10
correlated,1000000,4,8,43.5895383192,10
correlated,1000000,6,8,76.8693151562,10
correlated,1000000,8,8,98.8538540147,10
correlated,1000000,2,8,32.5014328856,25
correlated,1000000,4,8,57.0361550974,25
correlated,1000000,6,8,98.8895542566,25
correlated,1000000,8,8,137.8612237244,25
correlated,1000000,2,8,67.6673411112,50
correlated,1000000,4,8,103.0187327432,50
correlated,1000000,6,8,165.6022197702,50
correlated,1000000,8,8,208.9157736016,50
correlated,1000000,2,16,15.3365346967,10
correlated,1000000,4,16,30.2594247405,10
correlated,1000000,6,16,63.1306640248,10
correlated,1000000,8,16,72.6787041758,10
correlated,1000000,2,16,28.1027771379,25
correlated,1000000,4,16,46.993643207,25
correlated,1000000,6,16,85.5852715163,25
correlated,1000000,8,16,114.3031596082,25
correlated,1000000,2,16,58.219294032,50
correlated,1000000,4,16,82.821011344,50
correlated,1000000,6,16,130.4543293625,50
correlated,1000000,8,16,159.0869082352,50
,,,,,
anticorrelated,1000000,2,2,79.6765035788,10
anticorrelated,1000000,2,8,30.934745475,10
anticorrelated,1000000,2,16,19.890737714,10
anticorrelated,1000000,4,2,988.6439656199,10
anticorrelated,1000000,4,8,347.099410055,10
anticorrelated,1000000,4,16,212.665897846,10
anticorrelated,1000000,6,8,2374.432681145,10
anticorrelated,1000000,6,16,1743.748081105,10
anticorrelated,1000000,8,8,10559.527013382,10
anticorrelated,1000000,8,16,8388.871734765,10
,,,,,
normal,1000000,2,2,51.883752248,10
normal,1000000,4,2,591.284870759,10
normal,1000000,6,2,3640.133374425,10
,,,,,
normal,1000000,2,4,24.626154298,10
normal,1000000,4,4,437.128735647,10
normal,1000000,6,4,2615.290520089,10
,,,,,
normal,1000000,2,8,18.359763015,10
normal,1000000,4,8,193.823420233,10
normal,1000000,6,8,1535.041211927,10
normal,1000000,8,8,5488.921486543,10
,,,,,
normal,1000000,2,16,13.48499014,10
normal,1000000,4,16,125.151443214,10
normal,1000000,6,16,919.054421644,10
normal,1000000,8,16,4324.569022045,10
,,,,,
uniform,1000000,2,2,38.6165106756,10
uniform,1000000,2,4,24.676186898,10
uniform,1000000,2,8,14.517333669,10
uniform,1000000,2,16,14.260499344,10
,,,,,
uniform,1000000,4,2,258.0505950648,10
uniform,1000000,4,4,145.123498695,10
uniform,1000000,4,8,96.492501909,10
uniform,1000000,4,16,75.18478601,10
,,,,,
uniform,1000000,6,2,2084.159064874,10
uniform,1000000,6,4,1107.633197721,10
uniform,1000000,6,8,809.315761851,10
uniform,1000000,6,16,647.100443602,10
,,,,,
uniform,1000000,8,8,3793.095672329,10
uniform,1000000,8,16,3352.237461433,10
