distribution,#samples,#dimensions,#cores,time,K
correlated,100000,6,16,2.6557459023,10
correlated,1000000,6,16,47.3356754419,10
correlated,10000000,6,16,452.371624657,10
,,,,,
correlated,100000,6,8,3.2589623853,10
correlated,1000000,6,8,68.5711727588,10
correlated,10000000,6,8,729.542489378,10
,,,,,
uniform,100000,6,16,40.325541803,10
uniform,1000000,6,16,615.710332284,10
uniform,10000000,6,16,12049.214012463,10
,,,,,
uniform,100000,6,8,44.346536157,10
uniform,1000000,6,8,747.298684363,10
uniform,10000000,6,8,16586.51972153,10
,,,,,
normal,100000,6,16,35.09175883,10
normal,1000000,6,16,827.958196146,10
normal,10000000,6,16,19432.482914546,10
,,,,,
normal,100000,6,8,55.837568616,10
normal,1000000,6,8,1635.312984623,10
normal,10000000,6,8,40494.847216256,10
,,,,,
anticorrelated,100000,6,16,85.874830773,10
anticorrelated,1000000,6,16,1651.169128712,10
anticorrelated,10000000,6,16,41116.161091758,10
,,,,,
anticorrelated,100000,6,8,114.13625188,10
anticorrelated,1000000,6,8,3042.540281959,10
anticorrelated,10000000,6,8,79332.120258363,10
